"Occupation by major field of study (detailed, 4-digit): Canada, provinces and territories",,,,,,,,
Frequency: Occasional,,,,,,,,
Table: 98-10-0404-01,,,,,,,,
Release date: 2023-10-04,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data",,,,,,,,
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A), Age (2), Highest certificate, diploma or degree (16), Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Gender (3)",,,,,,,,
,,,,,,,,
Geography,Canada i1,,,,,,,
Age (2) 1,Total - Age 7,,,,,,,
"Highest certificate, diploma or degree (16) 2","Total - Highest certificate, diploma or degree 8",,,,,,,
Major field of study - Classification of Instructional Programs (CIP) 2021 (500) 3,Total - Major field of study - Classification of Instructional Programs (CIP) 2021 9,,,"52.02 Business administration, management and operations",,,,
Gender (3) 5 6,Total - Gender,Men+ 10,Women+ 11,Total - Gender,Men+ 10,Women+ 11,,
"41400 Natural and applied science policy researchers, consultants and program officers","37,725","19,025","18,695","1,365",655,705,,
41401 Economists and economic policy researchers and analysts,"23,970","13,255","10,715","2,040","1,120",915,,
41402 Business development officers and market researchers and analysts,"46,305","25,000","21,305","5,645","3,100","2,550",,
"41403 Social policy researchers, consultants and program officers","45,075","15,180","29,895","2,615","1,070","1,545",,
"41404 Health policy researchers, consultants and program officers","29,270","6,950","22,325","1,300",355,940,,
"41405 Education policy researchers, consultants and program officers","28,530","7,375","21,155","1,080",330,745,,
"41406 Recreation, sports and fitness policy researchers, consultants and program officers","10,605","3,505","7,095",385,175,215,,
41407 Program officers unique to government,"15,250","6,685","8,565","1,070",465,605,,
41409 Other professional occupations in social science,"7,210","2,645","4,570",110,50,55,,
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services","633,015","160,100","472,915","10,065","3,285","6,780",,
421 Occupations in front-line public protection services,"111,625","91,390","20,235","2,180","1,745",430,,
4210 Occupations in front-line public protection services,"111,625","91,390","20,235","2,180","1,745",430,,
42100 Police officers (except commissioned),"75,200","57,145","18,050","1,680","1,300",385,,
42101 Firefighters,"34,795","32,810","1,985",450,410,40,,
42102 Specialized members of the Canadian Armed Forces,"1,625","1,425",200,50,40,10,,
"422 Paraprofessional occupations in legal, social, community and education services","521,395","68,710","452,680","7,885","1,540","6,350",,
"4220 Paraprofessional occupations in legal, social, community and education services","521,395","68,710","452,680","7,885","1,540","6,350",,
42200 Paralegals and related occupations,"33,680","5,245","28,435",615,145,470,,
42201 Social and community service workers,"194,275","45,730","148,540","3,820","1,055","2,770",,
42202 Early childhood educators and assistants,"248,345","9,555","238,790","2,950",145,"2,800",,
42203 Instructors of persons with disabilities,"35,415","4,430","30,990",230,65,170,,
42204 Religion workers,"9,680","3,755","5,920",275,130,145,,
43 Assisting occupations in education and in legal and public protection,"247,315","95,155","152,165","3,875","1,715","2,160",,
431 Assisting occupations in educational,"157,785","29,400","128,385","2,070",500,"1,570",,
4310 Assisting occupations in education,"157,785","29,400","128,385","2,070",500,"1,570",,
43100 Elementary and secondary school teacher assistants,"113,410","10,805","102,610","1,190",55,"1,135",,
43109 Other instructors,"44,375","18,595","25,780",875,445,430,,
432 Assisting occupations in legal and public protection,"89,530","65,755","23,780","1,810","1,220",590,,
4320 Assisting occupations in legal and public protection,"89,530","65,755","23,780","1,810","1,220",590,,
43200 Sheriffs and bailiffs,"5,620","4,150","1,470",105,75,30,,
43201 Correctional service officers,"25,680","17,355","8,325",375,245,135,,
43202 By-law enforcement and other regulatory officers,"10,970","7,050","3,925",295,185,115,,
"43203 Border services, customs, and immigration officers","10,780","5,905","4,875",445,265,175,,
43204 Operations members of the Canadian Armed Forces,"36,480","31,300","5,180",590,450,140,,
44 Care providers and legal and public protection support occupations,"139,450","19,985","119,465","2,020",235,"1,780",,
441 Home care provider occupations,"129,300","11,035","118,265","1,915",155,"1,760",,
4410 Home care provider occupations,"129,300","11,035","118,265","1,915",155,"1,760",,
44100 Home child care providers,"69,820","4,330","65,485","1,115",35,"1,080",,
"44101 Home support workers, caregivers and related occupations","59,480","6,705","52,780",800,115,680,,
442 Primary combat members of the Canadian Armed Forces,"10,150","8,950","1,200",105,80,25,,
4420 Primary combat members of the Canadian Armed Forces,"10,150","8,950","1,200",105,80,25,,
44200 Primary combat members of the Canadian Armed Forces,"10,150","8,950","1,200",105,80,25,,
"45 Student monitors, crossing guards and related occupations","35,020","5,790","29,230",820,165,655,,
"451 Student monitors, crossing guards and related occupations","35,020","5,790","29,230",820,165,655,,
"4510 Student monitors, crossing guards and related occupations","35,020","5,790","29,230",820,165,655,,
"45100 Student monitors, crossing guards and related occupations","35,020","5,790","29,230",820,165,655,,
"5 Occupations in art, culture, recreation and sport","697,260","319,920","377,340","12,010","5,445","6,560",,
"50 Specialized middle management occupations in art, culture, recreation and sport","27,955","13,085","14,870","1,135",585,550,,
"500 Specialized middle management occupations in art, culture, recreation and sport","27,955","13,085","14,870","1,135",585,550,,
"5001 Managers in art, culture, recreation and sport","27,955","13,085","14,870","1,135",585,550,,
"50010 Library, archive, museum and art gallery managers","5,070","1,270","3,800",140,25,120,,
"50011 Managers - publishing, motion pictures, broadcasting and performing arts","8,830","4,430","4,400",310,135,175,,
"50012 Recreation, sports and fitness program and service directors","14,060","7,380","6,670",685,430,255,,
51 Professional occupations in art and culture,"174,675","79,425","95,250","2,730","1,195","1,535",,
511 Professional occupations in art and culture,"174,675","79,425","95,250","2,730","1,195","1,535",,
"5110 Librarians, archivists, conservators and curators","13,215","3,105","10,115",95,20,75,,
51100 Librarians,"9,355","1,850","7,500",80,15,60,,
51101 Conservators and curators,"2,210",695,"1,515",10,0,0,,
51102 Archivists,"1,650",560,"1,095",15,0,15,,
"5111 Writing, translating and related communications professionals","83,835","31,830","52,005","1,695",605,"1,085",,
51110 Editors,"15,890","5,360","10,530",225,75,150,,
51111 Authors and writers (except technical),"27,745","11,335","16,410",505,205,300,,
51112 Technical writers,"8,990","3,505","5,485",295,110,190,,
51113 Journalists,"11,360","5,915","5,445",150,80,70,,
"51114 Translators, terminologists and interpreters","19,850","5,720","14,135",515,140,380,,
5112 Creative and performing artists,"77,625","44,490","33,140",935,560,375,,
"51120 Producers, directors, choreographers and related occupations","36,200","23,490","12,710",590,360,220,,
"51121 Conductors, composers and arrangers","3,930","2,700","1,230",40,25,10,,
51122 Musicians and singers,"37,495","18,300","19,200",310,175,135,,
"52 Technical occupations in art, culture and sport","215,790","106,135","109,650","3,970","1,740","2,230",,
521 Technical occupations in art and culture,"215,790","106,135","109,650","3,970","1,740","2,230",,
5210 Technical occupations in libraries and public archives,"10,365","1,345","9,015",125,20,105,,
52100 Library and public archive technicians,"10,365","1,345","9,015",125,20,105,,
"5211 Technical occupations in motion pictures, broadcasting and the performing arts","84,365","56,605","27,760","2,250","1,210","1,040",,
52110 Film and video camera operators,"5,930","5,160",775,80,80,0,,
52111 Graphic arts technicians,"13,420","9,105","4,315",140,95,45,,
52112 Broadcast technicians,"1,960","1,715",245,10,10,0,,
52113 Audio and video recording technicians,"28,340","23,025","5,310",420,275,140,,
52114 Announcers and other broadcasters,"5,400","3,315","2,080",85,60,30,,
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts","29,315","14,285","15,030","1,520",690,830,,
5212 Graphic and interior designers,"121,060","48,185","72,875","1,600",515,"1,085",,
52120 Graphic designers and illustrators,"88,935","42,335","46,595",960,395,560,,
52121 Interior designers and interior decorators,"32,125","5,845","26,280",645,115,525,,
"53 Occupations in art, culture and sport","154,660","69,870","84,790","2,530","1,150","1,380",,
531 Occupations in art and culture,"128,400","53,110","75,295","1,725",680,"1,045",,
5310 Occupations related to museums and art galleries,"6,875","2,905","3,960",45,25,25,,
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries","6,875","2,905","3,960",45,25,25,,
5311 Photographers and support occupations in arts and culture,"34,285","18,875","15,405",545,275,270,,
53110 Photographers,"20,540","9,690","10,850",390,185,210,,
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators","13,740","9,185","4,555",155,95,65,,
5312 Occupations in creative and performing art,"87,245","31,325","55,920","1,130",385,745,,
53120 Dancers,"10,910","1,500","9,410",80,10,70,,
"53121 Actors, comedians and circus performers","19,595","9,920","9,675",285,165,125,,
"53122 Painters, sculptors and other visual artists","21,460","7,420","14,045",225,65,165,,
"53123 Theatre, fashion, exhibit and other creative designers","14,940","5,390","9,550",195,55,140,,
53124 Artisans and craftspersons,"19,615","6,895","12,720",320,90,225,,
"53125 Patternmakers - textile, leather and fur products",725,205,520,20,0,20,,
532 Occupations in sports,"26,260","16,765","9,500",805,470,335,,
"5320 Athletes, coaches, referees and related occupations","26,260","16,765","9,500",805,470,335,,
53200 Athletes,"4,375","3,580",790,100,90,10,,
53201 Coaches,"16,695","9,000","7,700",680,355,330,,
53202 Sports officials and referees,"5,190","4,180","1,015",25,25,0,,
54 Support occupations in sport,"118,830","48,935","69,900","1,565",750,815,,
541 Support occupations in sport,"118,830","48,935","69,900","1,565",750,815,,
"5410 Program leaders and instructors in recreation, sport and fitness","118,830","48,935","69,900","1,565",750,815,,
"54100 Program leaders and instructors in recreation, sport and fitness","118,830","48,935","69,900","1,565",750,815,,
55 Support occupations in art and culture,"5,355","2,480","2,875",85,30,50,,
551 Support occupations in art and culture,"5,355","2,480","2,875",85,30,50,,
5510 Support occupations in art and culture,"5,355","2,480","2,875",85,30,50,,
55109 Other performers,"5,355","2,480","2,875",85,30,50,,
6 Sales and service occupations,"5,226,370","2,316,525","2,909,845","160,295","82,375","77,920",,
60 Middle management occupations in retail and wholesale trade and customer services,"716,470","405,065","311,405","39,865","25,235","14,630",,
600 Middle management occupations in retail and wholesale trade and customer services,"716,470","405,065","311,405","39,865","25,235","14,630",,
6001 Corporate sales managers,"80,170","53,655","26,515","8,240","5,750","2,490",,
60010 Corporate sales managers,"80,170","53,655","26,515","8,240","5,750","2,490",,
6002 Retail and wholesale trade managers,"418,375","241,185","177,190","21,940","13,915","8,025",,
60020 Retail and wholesale trade managers,"418,375","241,185","177,190","21,940","13,915","8,025",,
6003 Managers in food service and accommodation,"188,580","97,435","91,145","8,660","5,090","3,570",,
60030 Restaurant and food service managers,"158,235","83,455","74,780","7,380","4,470","2,910",,
60031 Accommodation service managers,"30,350","13,980","16,370","1,275",620,660,,
6004 Managers in customer and personal services,"29,345","12,800","16,545","1,025",490,545,,
60040 Managers in customer and personal services,"29,345","12,800","16,545","1,025",490,545,,
62 Retail sales and service supervisors and specialized occupations in sales and services,"362,875","197,655","165,220","15,425","8,270","7,155",,
620 Retail sales and service supervisors,"188,165","81,220","106,945","8,315","3,840","4,470",,
6201 Retail sales supervisors,"65,105","25,180","39,915","2,740","1,430","1,315",,
62010 Retail sales supervisors,"65,105","25,180","39,915","2,740","1,430","1,315",,
6202 Service supervisors,"123,065","56,040","67,025","5,565","2,405","3,160",,
62020 Food service supervisors,"77,160","32,525","44,635","3,490","1,395","2,095",,
62021 Executive housekeepers,"2,030",445,"1,585",90,25,60,,
"62022 Accommodation, travel, tourism and related services supervisors","6,425","2,920","3,500",280,130,150,,
62023 Customer and information services supervisors,"11,025","3,965","7,055",855,315,540,,
62024 Cleaning supervisors,"14,420","7,755","6,670",440,225,210,,
62029 Other services supervisors,"12,005","8,425","3,580",415,315,100,,
621 Specialized sales occupations,"91,295","56,925","34,365","5,825","3,540","2,285",,
6210 Technical sales specialists in wholesale trade and retail and wholesale buyers,"91,295","56,925","34,365","5,825","3,540","2,285",,
62100 Technical sales specialists - wholesale trade,"53,625","40,055","13,570","3,010","2,140",870,,
62101 Retail and wholesale buyers,"37,665","16,875","20,795","2,815","1,400","1,410",,
622 Specialized services occupations,"83,420","59,510","23,910","1,290",890,400,,
6220 Specialized occupations in services,"83,420","59,510","23,910","1,290",890,400,,
62200 Chefs,"73,355","54,030","19,325","1,080",770,310,,
62201 Funeral directors and embalmers,"5,625","2,985","2,640",140,90,55,,
"62202 Jewellers, jewellery and watch repairers and related occupations","4,435","2,495","1,940",60,30,40,,
63 Occupations in sales and services,"733,790","308,420","425,370","26,075","12,810","13,270",,
631 Occupations in sales,"268,495","124,470","144,025","20,005","10,450","9,550",,
"6310 Insurance, real estate and financial sales occupations","268,495","124,470","144,025","20,005","10,450","9,550",,
63100 Insurance agents and brokers,"83,900","33,900","50,000","6,390","3,130","3,265",,
63101 Real estate agents and salespersons,"121,825","66,245","55,580","6,960","4,260","2,700",,
63102 Financial sales representatives,"62,770","24,320","38,450","6,650","3,060","3,585",,
632 Occupations in services,"465,290","183,950","281,340","6,075","2,360","3,715",,
"6320 Cooks, butchers and bakers","276,470","152,440","124,025","3,455","1,785","1,675",,
63200 Cooks,"212,290","123,655","88,635","2,530","1,405","1,120",,
63201 Butchers - retail and wholesale,"11,775","10,300","1,475",80,70,10,,
63202 Bakers,"52,400","18,485","33,920",850,305,540,,
6321 Hairstylists and estheticians,"174,220","24,775","149,445","1,725",285,"1,440",,
63210 Hairstylists and barbers,"102,675","18,105","84,570",735,210,525,,
"63211 Estheticians, electrologists and related occupations","71,550","6,665","64,880",990,70,920,,
"6322 Shoe repairers, shoemakers and upholsterers","14,605","6,740","7,870",895,295,600,,
63220 Shoe repairers and shoemakers,"10,570","3,870","6,695",855,275,585,,
63221 Upholsterers,"4,040","2,865","1,175",40,25,15,,
64 Sales and service representatives and other customer and personal services occupations,"1,427,280","632,680","794,605","49,245","23,970","25,275",,
641 Retail salespersons and non-technical wholesale trade sales and account representatives,"791,130","369,675","421,455","23,710","13,265","10,445",,
6410 Retail salespersons and non-technical wholesale trade sales and account representatives,"791,130","369,675","421,455","23,710","13,265","10,445",,
64100 Retail salespersons and visual merchandisers,"722,870","324,280","398,585","19,645","10,525","9,120",,
64101 Sales and account representatives - wholesale trade (non-technical),"68,260","45,390","22,865","4,065","2,740","1,325",,
642 Occupations in personal service,"23,685","3,545","20,135",300,70,230,,
6420 Occupations in personal service,"23,685","3,545","20,135",300,70,230,,
"64200 Tailors, dressmakers, furriers and milliners","21,015","2,795","18,225",200,35,165,,
"64201 Image, social and other personal consultants","2,665",750,"1,915",100,35,65,,
"643 Occupations in food, accommodation and tourism","137,750","43,640","94,105","3,475","1,415","2,060",,
6430 Occupations in food and beverage service,"57,055","16,405","40,650",665,265,400,,
64300 Maîtres d'hôtel and hosts/hostesses,"24,220","3,285","20,935",165,20,150,,
64301 Bartenders,"32,835","13,120","19,715",490,245,250,,
6431 Occupations in travel and accommodation,"66,645","18,915","47,730","2,410",925,"1,485",,
64310 Travel counsellors,"20,835","4,355","16,480",735,240,495,,
64311 Pursers and flight attendants,"12,905","2,680","10,225",440,130,315,,
64312 Airline ticket and service agents,"12,120","4,195","7,930",510,250,260,,
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks","1,850",785,"1,060",70,35,35,,
64314 Hotel front desk clerks,"18,935","6,905","12,025",655,285,380,,
6432 Tourism and amusement services occupations,"14,045","8,315","5,730",395,225,175,,
64320 Tour and travel guides,"3,310","1,790","1,520",85,45,40,,
64321 Casino workers,"7,790","4,105","3,685",280,150,130,,
64322 Outdoor sport and recreational guides,"2,945","2,420",525,35,20,10,,
"644 Occupations in customer, information and protective services","474,720","215,820","258,900","21,760","9,225","12,535",,
6440 Customer and information services representatives,"341,850","114,430","227,420","18,305","6,545","11,765",,
64400 Customer services representatives - financial institutions,"63,940","16,245","47,700","4,900","1,580","3,320",,
64401 Postal services representatives,"8,040","2,660","5,385",245,85,165,,
64409 Other customer and information services representatives,"269,860","95,525","174,345","13,165","4,890","8,280",,
6441 Security guards and related security service occupations,"132,875","101,390","31,480","3,455","2,675",775,,
64410 Security guards and related security service occupations,"132,875","101,390","31,480","3,455","2,675",775,,
65 Sales and service support occupations,"1,985,955","772,700","1,213,255","29,685","12,095","17,590",,
651 Sales support occupations,"738,950","291,115","447,835","11,955","5,130","6,830",,
6510 Cashiers and other sales support occupations,"738,950","291,115","447,835","11,955","5,130","6,830",,
65100 Cashiers,"428,745","95,715","333,030","7,060","2,315","4,745",,
65101 Service station attendants,"10,815","8,175","2,640",55,45,15,,
"65102 Store shelf stockers, clerks and order fillers","263,855","173,070","90,775","3,515","2,095","1,415",,
65109 Other sales related occupations,"35,535","14,150","21,390","1,330",670,655,,
"652 Support occupations in food, accommodation and tourism","711,330","252,395","458,935","10,110","3,610","6,500",,
6520 Food support occupations,"631,305","217,600","413,705","8,910","3,085","5,825",,
65200 Food and beverage servers,"149,015","34,765","114,250","2,550",755,"1,790",,
"65201 Food counter attendants, kitchen helpers and related support occupations","474,760","176,570","298,190","6,270","2,250","4,020",,
65202 Meat cutters and fishmongers - retail and wholesale,"7,530","6,265","1,270",95,75,20,,
"6521 Support occupations in accommodation, travel, tourism and amusement services","45,000","28,725","16,275",710,465,245,,
"65210 Support occupations in accommodation, travel and facilities set-up services","3,715","2,835",880,50,35,15,,
"65211 Operators and attendants in amusement, recreation and sport","41,285","25,890","15,390",660,430,230,,
6522 Support occupations in personal services,"35,025","6,070","28,960",490,65,425,,
65220 Pet groomers and animal care workers,"31,615","5,530","26,080",415,50,360,,
65229 Other support occupations in personal services,"3,410",540,"2,875",75,15,65,,
653 Support occupations in cleaning and related services,"535,665","229,190","306,485","7,615","3,350","4,265",,
6531 Cleaners,"486,670","206,515","280,160","6,745","2,895","3,845",,
65310 Light duty cleaners,"312,035","90,975","221,060","4,565","1,455","3,115",,
65311 Specialized cleaners,"48,835","40,985","7,855",540,435,105,,
"65312 Janitors, caretakers and heavy-duty cleaners","125,800","74,555","51,245","1,635","1,005",630,,
6532 Service support and related occupations,"48,995","22,670","26,325",870,450,415,,
"65320 Dry cleaning, laundry and related occupations","19,685","5,805","13,875",335,120,220,,
65329 Other service support occupations,"29,310","16,865","12,445",530,335,200,,
"7 Trades, transport and equipment operators and related occupations","3,526,800","3,204,945","321,855","54,955","45,280","9,670",,
70 Middle management occupations in trades and transportation,"290,495","240,280","50,205","14,600","10,930","3,670",,
700 Middle management occupations in trades and transportation,"290,495","240,280","50,205","14,600","10,930","3,670",,
7001 Managers in construction and facility operation and maintenance,"243,970","205,855","38,110","10,215","7,710","2,505",,
70010 Construction managers,"100,495","86,955","13,540","4,410","3,455",955,,
70011 Home building and renovation managers,"62,540","58,425","4,110","1,305","1,195",110,,
70012 Facility operation and maintenance managers,"80,935","60,475","20,460","4,500","3,060","1,435",,
7002 Managers in transportation and postal and courier services,"46,525","34,425","12,100","4,385","3,220","1,170",,
70020 Managers in transportation,"42,175","31,775","10,395","4,080","3,005","1,070",,
70021 Postal and courier services managers,"4,350","2,650","1,700",305,215,95,,
72 Technical trades and transportation officers and controllers,"1,358,050","1,300,890","57,165","11,865","10,290","1,570",,
720 Technical trades contractors and supervisors,"211,365","190,980","20,385","4,105","3,195",910,,
"7201 Contractors and supervisors, technical industrial, electrical and construction trades and related workers","114,670","107,670","7,000","1,875","1,570",305,,
"72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","14,405","13,575",835,125,115,10,,
"72011 Contractors and supervisors, electrical trades and telecommunications occupations","24,600","22,945","1,655",630,495,140,,
"72012 Contractors and supervisors, pipefitting trades","8,485","8,115",370,100,85,15,,
"72013 Contractors and supervisors, carpentry trades","16,465","15,990",475,210,175,30,,
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers","50,715","47,045","3,670",810,710,100,,
"7202 Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators","96,695","83,310","13,390","2,230","1,625",600,,
"72020 Contractors and supervisors, mechanic trades","27,340","25,470","1,870",450,350,100,,
"72021 Contractors and supervisors, heavy equipment operator crews","45,785","44,015","1,770",700,595,110,,
"72022 Supervisors, printing and related occupations","2,185","1,375",805,80,50,30,,
"72023 Supervisors, railway transport operations","1,305","1,135",170,45,35,10,,
"72024 Supervisors, motor transport and other ground transit operators","11,370","7,875","3,500",505,350,160,,
"72025 Supervisors, mail and message distribution occupations","8,715","3,440","5,275",445,250,195,,
721 Technical industrial trades,"192,025","184,035","7,990",995,880,120,,
"7210 Machining, metal forming, shaping and erecting trades","192,025","184,035","7,990",995,880,120,,
72100 Machinists and machining and tooling inspectors,"39,290","37,495","1,795",280,260,25,,
72101 Tool and die makers,"10,590","10,110",485,65,60,0,,
72102 Sheet metal workers,"20,320","19,810",505,110,105,0,,
72103 Boilermakers,"4,250","4,140",115,25,25,0,,
72104 Structural metal and platework fabricators and fitters,"7,030","6,825",210,65,60,10,,
72105 Ironworkers,"14,285","13,970",315,95,85,10,,
72106 Welders and related machine operators,"96,255","91,690","4,565",355,295,60,,
722 Technical electrical trades,"180,405","174,540","5,865","1,455","1,300",155,,
7220 Technical electrical trades and electrical power line and telecommunications workers,"180,405","174,540","5,865","1,455","1,300",155,,
72200 Electricians (except industrial and power system),"106,205","103,470","2,735",560,540,20,,
72201 Industrial electricians,"22,910","22,470",440,115,105,10,,
72202 Power system electricians,"5,210","5,025",185,50,50,0,,
72203 Electrical power line and cable workers,"13,785","13,535",245,115,105,10,,
72204 Telecommunications line and cable installers and repairers,"10,465","10,050",415,155,140,10,,
72205 Telecommunications equipment installation and cable television service technicians,"21,835","19,995","1,845",465,355,105,,
723 Technical construction trades,"312,860","304,235","8,625","2,160","2,065",95,,
"7230 Plumbers, pipefitters and gas fitters","86,315","84,630","1,680",585,570,15,,
72300 Plumbers,"56,385","55,420",970,375,365,15,,
"72301 Steamfitters, pipefitters and sprinkler system installers","22,585","22,130",460,145,145,0,,
72302 Gas fitters,"7,340","7,090",255,60,55,0,,
7231 Carpenters and cabinetmakers,"197,690","191,735","5,955","1,415","1,340",70,,
72310 Carpenters,"179,755","175,400","4,350","1,290","1,235",55,,
72311 Cabinetmakers,"17,940","16,335","1,605",125,105,20,,
7232 Bricklayers and insulators,"28,850","27,860",990,165,150,10,,
72320 Bricklayers,"18,830","18,610",220,65,55,0,,
72321 Insulators,"10,025","9,250",775,105,95,0,,
724 Technical maintenance trades,"403,465","394,190","9,280","2,245","2,095",150,,
7240 Machinery and transportation equipment mechanics (except motor vehicles),"179,180","175,390","3,795",935,870,65,,
72400 Construction millwrights and industrial mechanics,"69,280","68,080","1,205",350,335,10,,
72401 Heavy-duty equipment mechanics,"47,265","46,740",530,125,125,0,,
"72402 Heating, refrigeration and air conditioning mechanics","32,260","31,690",575,205,185,20,,
72403 Railway carmen/women,"2,560","2,485",75,25,15,0,,
72404 Aircraft mechanics and aircraft inspectors,"19,510","18,295","1,215",155,125,20,,
72405 Machine fitters,"2,195","2,060",140,10,10,0,,
72406 Elevator constructors and mechanics,"6,115","6,050",65,70,70,0,,
7241 Automotive service technicians,"195,085","190,475","4,605","1,140","1,080",60,,
"72410 Automotive service technicians, truck and bus mechanics and mechanical repairers","162,840","159,790","3,055",880,830,50,,
"72411 Auto body collision, refinishing and glass technicians and damage repair estimators","32,245","30,685","1,555",260,250,0,,
7242 Small engine and equipment mechanics and related repairers (including electrical components),"29,200","28,325",875,165,140,20,,
72420 Oil and solid fuel heating mechanics,"1,760","1,730",30,0,0,0,,
72421 Appliance servicers and repairers,"6,355","6,160",195,50,45,10,,
72422 Electrical mechanics,"10,920","10,505",420,60,55,15,,
"72423 Motorcycle, all-terrain vehicle and other related mechanics","7,210","7,030",180,30,30,0,,
72429 Other small engine and small equipment repairers,"2,950","2,905",45,15,15,0,,
725 Technical equipment operation trades,"15,190","14,820",375,105,100,0,,
7250 Crane operators and water well drillers,"15,190","14,820",375,105,100,0,,
72500 Crane operators,"14,520","14,170",350,105,100,0,,
72501 Water well drillers,670,650,25,0,0,0,,
726 Transportation officers and controllers,"32,655","29,040","3,615",710,580,135,,
7260 Transportation officers and controllers,"32,655","29,040","3,615",710,580,135,,
"72600 Air pilots, flight engineers and flying instructors","18,605","17,215","1,390",450,390,60,,
72601 Air traffic controllers and related occupations,"4,790","3,640","1,150",155,105,55,,
"72602 Deck officers, water transport","6,275","5,615",660,60,45,10,,
"72603 Engineer officers, water transport","1,535","1,455",80,15,10,0,,
72604 Railway traffic controllers and marine traffic regulators,"1,455","1,110",340,30,25,0,,
729 Other technical trades,"10,080","9,050","1,025",85,80,0,,
7299 Other technical trades,"10,080","9,050","1,025",85,80,0,,
72999 Other technical trades and related occupations,"10,080","9,050","1,025",85,80,0,,
73 General trades,"979,385","894,515","84,870","12,800","11,415","1,385",,
731 General construction trades,"150,485","138,180","12,310","1,360","1,235",125,,
"7310 Concrete finishers, tilesetters and plasterers","52,130","50,015","2,120",440,420,25,,
73100 Concrete finishers,"10,055","9,830",225,50,50,0,,
73101 Tilesetters,"9,940","9,495",445,120,120,0,,
"73102 Plasterers, drywall installers and finishers and lathers","32,140","30,690","1,450",270,245,25,,
"7311 Roofers, glaziers, painters, decorators and floor covering installers","98,360","88,165","10,190",920,815,100,,
73110 Roofers and shinglers,"25,975","25,440",535,120,115,10,,
73111 Glaziers,"8,855","8,635",225,100,100,0,,
73112 Painters and decorators (except interior decorators),"50,135","41,205","8,930",520,425,95,,
73113 Floor covering installers,"13,390","12,885",505,180,180,0,,
"732 Building maintenance installers, servicers and repairers","187,995","173,880","14,115","2,385","2,100",285,,
"7320 Building maintenance installers, servicers and repairers","187,995","173,880","14,115","2,385","2,100",285,,
73200 Residential and commercial installers and servicers,"57,405","54,665","2,740",620,550,70,,
73201 General building maintenance workers and building superintendents,"114,085","103,945","10,140","1,600","1,400",200,,
73202 Pest controllers and fumigators,"4,555","4,075",480,60,55,0,,
73209 Other repairers and servicers,"11,955","11,195",760,105,100,0,,
733 Transportation occupations,"519,310","467,735","51,575","8,350","7,455",900,,
7330 Transport truck and transit drivers,"507,265","456,380","50,880","8,180","7,300",880,,
73300 Transport truck drivers,"403,855","385,670","18,185","5,750","5,415",335,,
"73301 Bus drivers, subway operators and other transit operators","103,410","70,710","32,700","2,430","1,885",545,,
7331 Train crew operating occupations,"12,045","11,350",695,170,155,15,,
73310 Railway and yard locomotive engineers,"6,115","5,745",375,85,70,10,,
73311 Railway conductors and brakemen/women,"5,930","5,610",325,90,80,0,,
"734 Operators, drillers and blasters","121,590","114,730","6,865",700,625,80,,
"7340 Operators, drillers and blasters","121,590","114,730","6,865",700,625,80,,
73400 Heavy equipment operators,"101,535","96,980","4,550",540,480,55,,
73401 Printing press operators,"15,375","13,095","2,280",150,135,20,,
"73402 Drillers and blasters - surface mining, quarrying and construction","4,685","4,650",30,15,10,0,,
"74 Mail and message distribution, other transport equipment operators and related maintenance workers","159,250","122,570","36,680","3,355","2,430",925,,
741 Mail and message distribution occupations,"98,470","66,015","32,460","2,820","1,990",830,,
7410 Mail and message distribution occupations,"98,470","66,015","32,460","2,820","1,990",830,,
74100 Mail and parcel sorters and related occupations,"25,410","13,685","11,725",965,565,400,,
74101 Letter carriers,"34,870","20,170","14,700",885,570,315,,
74102 Couriers and messengers,"38,195","32,165","6,035",965,855,110,,
"742 Transport equipment operators, utility maintenance and related workers","60,775","56,555","4,220",535,440,95,,
"7420 Transport equipment operators, utility maintenance and related maintenance workers","60,775","56,555","4,220",535,440,95,,
74200 Railway yard and track maintenance workers,"5,985","5,760",225,60,50,0,,
74201 Water transport deck and engine room crew,"4,935","4,395",540,25,15,10,,
74202 Air transport ramp attendants,"10,280","9,080","1,205",200,160,40,,
74203 Automotive and heavy truck and equipment parts installers and servicers,"16,130","15,330",800,65,50,10,,
74204 Utility maintenance workers,"6,345","5,775",580,70,70,0,,
74205 Public works maintenance equipment operators and related workers,"17,100","16,225",875,120,95,25,,
"75 Helpers and labourers and other transport drivers, operators and labourers","739,620","646,685","92,930","12,340","10,210","2,120",,
751 Helpers and labourers,"510,800","445,280","65,515","7,125","5,680","1,440",,
7510 Longshore workers and material handlers,"252,320","207,160","45,160","5,200","4,050","1,155",,
