"Occupation by major field of study (detailed, 4-digit): Canada, provinces and territories",,,,,,,,
Frequency: Occasional,,,,,,,,
Table: 98-10-0404-01,,,,,,,,
Release date: 2023-10-04,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data",,,,,,,,
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A), Age (2), Highest certificate, diploma or degree (16), Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Gender (3)",,,,,,,,
,,,,,,,,
Geography,Canada i1,,,,,,,
Age (2) 1,Total - Age 7,,,,,,,
"Highest certificate, diploma or degree (16) 2","Total - Highest certificate, diploma or degree 8",,,,,,,
Major field of study - Classification of Instructional Programs (CIP) 2021 (500) 3,Total - Major field of study - Classification of Instructional Programs (CIP) 2021 9,,,44.07 Social work,,,,
Gender (3) 5 6,Total - Gender,Men+ 10,Women+ 11,Total - Gender,Men+ 10,Women+ 11,,
41409 Other professional occupations in social science,"7,210","2,645","4,570",35,10,30,,
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services","633,015","160,100","472,915","26,675","3,985","22,685",,
421 Occupations in front-line public protection services,"111,625","91,390","20,235",385,160,225,,
4210 Occupations in front-line public protection services,"111,625","91,390","20,235",385,160,225,,
42100 Police officers (except commissioned),"75,200","57,145","18,050",350,135,215,,
42101 Firefighters,"34,795","32,810","1,985",30,25,10,,
42102 Specialized members of the Canadian Armed Forces,"1,625","1,425",200,0,0,0,,
"422 Paraprofessional occupations in legal, social, community and education services","521,395","68,710","452,680","26,290","3,830","22,465",,
"4220 Paraprofessional occupations in legal, social, community and education services","521,395","68,710","452,680","26,290","3,830","22,465",,
42200 Paralegals and related occupations,"33,680","5,245","28,435",150,20,130,,
42201 Social and community service workers,"194,275","45,730","148,540","21,645","3,475","18,170",,
42202 Early childhood educators and assistants,"248,345","9,555","238,790","3,000",125,"2,880",,
42203 Instructors of persons with disabilities,"35,415","4,430","30,990","1,370",170,"1,200",,
42204 Religion workers,"9,680","3,755","5,920",120,35,80,,
43 Assisting occupations in education and in legal and public protection,"247,315","95,155","152,165","5,745",780,"4,960",,
431 Assisting occupations in educational,"157,785","29,400","128,385","5,190",590,"4,610",,
4310 Assisting occupations in education,"157,785","29,400","128,385","5,190",590,"4,610",,
43100 Elementary and secondary school teacher assistants,"113,410","10,805","102,610","5,030",535,"4,490",,
43109 Other instructors,"44,375","18,595","25,780",160,50,115,,
432 Assisting occupations in legal and public protection,"89,530","65,755","23,780",555,200,360,,
4320 Assisting occupations in legal and public protection,"89,530","65,755","23,780",555,200,360,,
43200 Sheriffs and bailiffs,"5,620","4,150","1,470",25,10,15,,
43201 Correctional service officers,"25,680","17,355","8,325",350,130,220,,
43202 By-law enforcement and other regulatory officers,"10,970","7,050","3,925",55,15,40,,
"43203 Border services, customs, and immigration officers","10,780","5,905","4,875",85,30,55,,
43204 Operations members of the Canadian Armed Forces,"36,480","31,300","5,180",45,15,30,,
44 Care providers and legal and public protection support occupations,"139,450","19,985","119,465","1,420",130,"1,285",,
441 Home care provider occupations,"129,300","11,035","118,265","1,405",130,"1,280",,
4410 Home care provider occupations,"129,300","11,035","118,265","1,405",130,"1,280",,
44100 Home child care providers,"69,820","4,330","65,485",570,25,545,,
"44101 Home support workers, caregivers and related occupations","59,480","6,705","52,780",840,105,735,,
442 Primary combat members of the Canadian Armed Forces,"10,150","8,950","1,200",10,0,10,,
4420 Primary combat members of the Canadian Armed Forces,"10,150","8,950","1,200",10,0,10,,
44200 Primary combat members of the Canadian Armed Forces,"10,150","8,950","1,200",10,0,10,,
"45 Student monitors, crossing guards and related occupations","35,020","5,790","29,230",245,30,215,,
"451 Student monitors, crossing guards and related occupations","35,020","5,790","29,230",245,30,215,,
"4510 Student monitors, crossing guards and related occupations","35,020","5,790","29,230",245,30,215,,
"45100 Student monitors, crossing guards and related occupations","35,020","5,790","29,230",245,30,215,,
"5 Occupations in art, culture, recreation and sport","697,260","319,920","377,340","2,300",490,"1,815",,
"50 Specialized middle management occupations in art, culture, recreation and sport","27,955","13,085","14,870",80,35,45,,
"500 Specialized middle management occupations in art, culture, recreation and sport","27,955","13,085","14,870",80,35,45,,
"5001 Managers in art, culture, recreation and sport","27,955","13,085","14,870",80,35,45,,
"50010 Library, archive, museum and art gallery managers","5,070","1,270","3,800",20,15,0,,
"50011 Managers - publishing, motion pictures, broadcasting and performing arts","8,830","4,430","4,400",10,0,10,,
"50012 Recreation, sports and fitness program and service directors","14,060","7,380","6,670",55,25,30,,
51 Professional occupations in art and culture,"174,675","79,425","95,250",515,100,415,,
511 Professional occupations in art and culture,"174,675","79,425","95,250",515,100,415,,
"5110 Librarians, archivists, conservators and curators","13,215","3,105","10,115",15,0,15,,
51100 Librarians,"9,355","1,850","7,500",10,0,10,,
51101 Conservators and curators,"2,210",695,"1,515",0,0,0,,
51102 Archivists,"1,650",560,"1,095",0,0,0,,
"5111 Writing, translating and related communications professionals","83,835","31,830","52,005",325,65,255,,
51110 Editors,"15,890","5,360","10,530",75,0,75,,
51111 Authors and writers (except technical),"27,745","11,335","16,410",140,45,95,,
51112 Technical writers,"8,990","3,505","5,485",15,0,10,,
51113 Journalists,"11,360","5,915","5,445",20,0,15,,
"51114 Translators, terminologists and interpreters","19,850","5,720","14,135",70,10,65,,
5112 Creative and performing artists,"77,625","44,490","33,140",175,35,140,,
"51120 Producers, directors, choreographers and related occupations","36,200","23,490","12,710",35,0,30,,
"51121 Conductors, composers and arrangers","3,930","2,700","1,230",10,10,0,,
51122 Musicians and singers,"37,495","18,300","19,200",125,25,110,,
"52 Technical occupations in art, culture and sport","215,790","106,135","109,650",675,105,570,,
521 Technical occupations in art and culture,"215,790","106,135","109,650",675,105,570,,
5210 Technical occupations in libraries and public archives,"10,365","1,345","9,015",35,0,35,,
52100 Library and public archive technicians,"10,365","1,345","9,015",35,0,35,,
"5211 Technical occupations in motion pictures, broadcasting and the performing arts","84,365","56,605","27,760",455,75,380,,
52110 Film and video camera operators,"5,930","5,160",775,15,15,0,,
52111 Graphic arts technicians,"13,420","9,105","4,315",0,0,0,,
52112 Broadcast technicians,"1,960","1,715",245,0,0,0,,
52113 Audio and video recording technicians,"28,340","23,025","5,310",45,25,25,,
52114 Announcers and other broadcasters,"5,400","3,315","2,080",10,0,10,,
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts","29,315","14,285","15,030",380,35,350,,
5212 Graphic and interior designers,"121,060","48,185","72,875",185,35,150,,
52120 Graphic designers and illustrators,"88,935","42,335","46,595",100,30,75,,
52121 Interior designers and interior decorators,"32,125","5,845","26,280",80,0,75,,
"53 Occupations in art, culture and sport","154,660","69,870","84,790",495,120,380,,
531 Occupations in art and culture,"128,400","53,110","75,295",415,85,325,,
5310 Occupations related to museums and art galleries,"6,875","2,905","3,960",30,15,20,,
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries","6,875","2,905","3,960",30,15,20,,
5311 Photographers and support occupations in arts and culture,"34,285","18,875","15,405",70,15,60,,
53110 Photographers,"20,540","9,690","10,850",55,0,55,,
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators","13,740","9,185","4,555",15,10,0,,
5312 Occupations in creative and performing art,"87,245","31,325","55,920",310,55,250,,
53120 Dancers,"10,910","1,500","9,410",40,10,35,,
"53121 Actors, comedians and circus performers","19,595","9,920","9,675",55,25,30,,
"53122 Painters, sculptors and other visual artists","21,460","7,420","14,045",80,10,70,,
"53123 Theatre, fashion, exhibit and other creative designers","14,940","5,390","9,550",40,0,35,,
53124 Artisans and craftspersons,"19,615","6,895","12,720",85,15,75,,
"53125 Patternmakers - textile, leather and fur products",725,205,520,0,0,0,,
532 Occupations in sports,"26,260","16,765","9,500",85,35,50,,
"5320 Athletes, coaches, referees and related occupations","26,260","16,765","9,500",85,35,50,,
53200 Athletes,"4,375","3,580",790,0,0,0,,
53201 Coaches,"16,695","9,000","7,700",85,35,50,,
53202 Sports officials and referees,"5,190","4,180","1,015",0,0,0,,
54 Support occupations in sport,"118,830","48,935","69,900",515,120,395,,
541 Support occupations in sport,"118,830","48,935","69,900",515,120,395,,
"5410 Program leaders and instructors in recreation, sport and fitness","118,830","48,935","69,900",515,120,395,,
"54100 Program leaders and instructors in recreation, sport and fitness","118,830","48,935","69,900",515,120,395,,
55 Support occupations in art and culture,"5,355","2,480","2,875",20,0,15,,
551 Support occupations in art and culture,"5,355","2,480","2,875",20,0,15,,
5510 Support occupations in art and culture,"5,355","2,480","2,875",20,0,15,,
55109 Other performers,"5,355","2,480","2,875",20,0,15,,
6 Sales and service occupations,"5,226,370","2,316,525","2,909,845","13,445","2,400","11,050",,
60 Middle management occupations in retail and wholesale trade and customer services,"716,470","405,065","311,405","1,670",315,"1,360",,
600 Middle management occupations in retail and wholesale trade and customer services,"716,470","405,065","311,405","1,670",315,"1,360",,
6001 Corporate sales managers,"80,170","53,655","26,515",105,30,70,,
60010 Corporate sales managers,"80,170","53,655","26,515",105,30,70,,
6002 Retail and wholesale trade managers,"418,375","241,185","177,190",925,170,755,,
60020 Retail and wholesale trade managers,"418,375","241,185","177,190",925,170,755,,
6003 Managers in food service and accommodation,"188,580","97,435","91,145",580,110,475,,
60030 Restaurant and food service managers,"158,235","83,455","74,780",395,80,315,,
60031 Accommodation service managers,"30,350","13,980","16,370",190,30,155,,
6004 Managers in customer and personal services,"29,345","12,800","16,545",60,0,55,,
60040 Managers in customer and personal services,"29,345","12,800","16,545",60,0,55,,
62 Retail sales and service supervisors and specialized occupations in sales and services,"362,875","197,655","165,220",755,190,570,,
620 Retail sales and service supervisors,"188,165","81,220","106,945",500,100,405,,
6201 Retail sales supervisors,"65,105","25,180","39,915",175,35,130,,
62010 Retail sales supervisors,"65,105","25,180","39,915",175,35,130,,
6202 Service supervisors,"123,065","56,040","67,025",330,60,270,,
62020 Food service supervisors,"77,160","32,525","44,635",225,50,170,,
62021 Executive housekeepers,"2,030",445,"1,585",0,0,0,,
"62022 Accommodation, travel, tourism and related services supervisors","6,425","2,920","3,500",15,0,15,,
62023 Customer and information services supervisors,"11,025","3,965","7,055",45,0,50,,
62024 Cleaning supervisors,"14,420","7,755","6,670",15,0,15,,
62029 Other services supervisors,"12,005","8,425","3,580",25,10,15,,
621 Specialized sales occupations,"91,295","56,925","34,365",125,20,100,,
6210 Technical sales specialists in wholesale trade and retail and wholesale buyers,"91,295","56,925","34,365",125,20,100,,
62100 Technical sales specialists - wholesale trade,"53,625","40,055","13,570",45,15,30,,
62101 Retail and wholesale buyers,"37,665","16,875","20,795",75,10,70,,
622 Specialized services occupations,"83,420","59,510","23,910",130,65,65,,
6220 Specialized occupations in services,"83,420","59,510","23,910",130,65,65,,
62200 Chefs,"73,355","54,030","19,325",110,60,50,,
62201 Funeral directors and embalmers,"5,625","2,985","2,640",0,0,0,,
"62202 Jewellers, jewellery and watch repairers and related occupations","4,435","2,495","1,940",10,0,0,,
63 Occupations in sales and services,"733,790","308,420","425,370","1,805",300,"1,500",,
631 Occupations in sales,"268,495","124,470","144,025",775,150,630,,
"6310 Insurance, real estate and financial sales occupations","268,495","124,470","144,025",775,150,630,,
63100 Insurance agents and brokers,"83,900","33,900","50,000",265,45,215,,
63101 Real estate agents and salespersons,"121,825","66,245","55,580",350,70,280,,
63102 Financial sales representatives,"62,770","24,320","38,450",165,30,130,,
632 Occupations in services,"465,290","183,950","281,340","1,030",150,875,,
"6320 Cooks, butchers and bakers","276,470","152,440","124,025",450,95,355,,
63200 Cooks,"212,290","123,655","88,635",305,85,215,,
63201 Butchers - retail and wholesale,"11,775","10,300","1,475",10,0,10,,
63202 Bakers,"52,400","18,485","33,920",140,10,130,,
6321 Hairstylists and estheticians,"174,220","24,775","149,445",325,30,295,,
63210 Hairstylists and barbers,"102,675","18,105","84,570",120,15,105,,
"63211 Estheticians, electrologists and related occupations","71,550","6,665","64,880",205,15,190,,
"6322 Shoe repairers, shoemakers and upholsterers","14,605","6,740","7,870",255,30,225,,
63220 Shoe repairers and shoemakers,"10,570","3,870","6,695",245,25,225,,
63221 Upholsterers,"4,040","2,865","1,175",10,10,0,,
64 Sales and service representatives and other customer and personal services occupations,"1,427,280","632,680","794,605","4,685",885,"3,795",,
641 Retail salespersons and non-technical wholesale trade sales and account representatives,"791,130","369,675","421,455","2,150",370,"1,780",,
6410 Retail salespersons and non-technical wholesale trade sales and account representatives,"791,130","369,675","421,455","2,150",370,"1,780",,
64100 Retail salespersons and visual merchandisers,"722,870","324,280","398,585","2,055",350,"1,705",,
64101 Sales and account representatives - wholesale trade (non-technical),"68,260","45,390","22,865",90,20,70,,
642 Occupations in personal service,"23,685","3,545","20,135",65,15,50,,
6420 Occupations in personal service,"23,685","3,545","20,135",65,15,50,,
"64200 Tailors, dressmakers, furriers and milliners","21,015","2,795","18,225",40,10,35,,
"64201 Image, social and other personal consultants","2,665",750,"1,915",20,10,15,,
"643 Occupations in food, accommodation and tourism","137,750","43,640","94,105",405,75,330,,
6430 Occupations in food and beverage service,"57,055","16,405","40,650",150,30,125,,
64300 Maîtres d'hôtel and hosts/hostesses,"24,220","3,285","20,935",55,0,50,,
64301 Bartenders,"32,835","13,120","19,715",95,25,75,,
6431 Occupations in travel and accommodation,"66,645","18,915","47,730",205,30,175,,
64310 Travel counsellors,"20,835","4,355","16,480",75,10,60,,
64311 Pursers and flight attendants,"12,905","2,680","10,225",55,10,50,,
64312 Airline ticket and service agents,"12,120","4,195","7,930",25,0,25,,
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks","1,850",785,"1,060",0,0,0,,
64314 Hotel front desk clerks,"18,935","6,905","12,025",40,0,40,,
6432 Tourism and amusement services occupations,"14,045","8,315","5,730",50,20,35,,
64320 Tour and travel guides,"3,310","1,790","1,520",10,0,0,,
64321 Casino workers,"7,790","4,105","3,685",30,15,20,,
64322 Outdoor sport and recreational guides,"2,945","2,420",525,0,0,0,,
"644 Occupations in customer, information and protective services","474,720","215,820","258,900","2,065",430,"1,635",,
6440 Customer and information services representatives,"341,850","114,430","227,420","1,655",190,"1,465",,
64400 Customer services representatives - financial institutions,"63,940","16,245","47,700",275,25,250,,
64401 Postal services representatives,"8,040","2,660","5,385",15,0,15,,
64409 Other customer and information services representatives,"269,860","95,525","174,345","1,365",165,"1,195",,
6441 Security guards and related security service occupations,"132,875","101,390","31,480",410,235,175,,
64410 Security guards and related security service occupations,"132,875","101,390","31,480",410,235,175,,
65 Sales and service support occupations,"1,985,955","772,700","1,213,255","4,535",715,"3,815",,
651 Sales support occupations,"738,950","291,115","447,835","1,485",245,"1,240",,
6510 Cashiers and other sales support occupations,"738,950","291,115","447,835","1,485",245,"1,240",,
65100 Cashiers,"428,745","95,715","333,030",945,75,865,,
65101 Service station attendants,"10,815","8,175","2,640",20,0,15,,
"65102 Store shelf stockers, clerks and order fillers","263,855","173,070","90,775",365,155,205,,
65109 Other sales related occupations,"35,535","14,150","21,390",155,10,145,,
"652 Support occupations in food, accommodation and tourism","711,330","252,395","458,935","1,895",220,"1,675",,
6520 Food support occupations,"631,305","217,600","413,705","1,620",175,"1,445",,
65200 Food and beverage servers,"149,015","34,765","114,250",585,40,550,,
"65201 Food counter attendants, kitchen helpers and related support occupations","474,760","176,570","298,190","1,030",135,900,,
65202 Meat cutters and fishmongers - retail and wholesale,"7,530","6,265","1,270",0,0,0,,
"6521 Support occupations in accommodation, travel, tourism and amusement services","45,000","28,725","16,275",120,30,85,,
"65210 Support occupations in accommodation, travel and facilities set-up services","3,715","2,835",880,15,0,15,,
"65211 Operators and attendants in amusement, recreation and sport","41,285","25,890","15,390",105,30,70,,
6522 Support occupations in personal services,"35,025","6,070","28,960",160,10,150,,
65220 Pet groomers and animal care workers,"31,615","5,530","26,080",145,10,130,,
65229 Other support occupations in personal services,"3,410",540,"2,875",15,0,15,,
653 Support occupations in cleaning and related services,"535,665","229,190","306,485","1,150",245,905,,
6531 Cleaners,"486,670","206,515","280,160","1,025",220,815,,
65310 Light duty cleaners,"312,035","90,975","221,060",770,115,650,,
65311 Specialized cleaners,"48,835","40,985","7,855",30,15,20,,
"65312 Janitors, caretakers and heavy-duty cleaners","125,800","74,555","51,245",230,85,145,,
6532 Service support and related occupations,"48,995","22,670","26,325",125,30,90,,
"65320 Dry cleaning, laundry and related occupations","19,685","5,805","13,875",25,0,25,,
65329 Other service support occupations,"29,310","16,865","12,445",95,30,65,,
"7 Trades, transport and equipment operators and related occupations","3,526,800","3,204,945","321,855","3,005","1,740","1,265",,
70 Middle management occupations in trades and transportation,"290,495","240,280","50,205",410,135,275,,
700 Middle management occupations in trades and transportation,"290,495","240,280","50,205",410,135,275,,
7001 Managers in construction and facility operation and maintenance,"243,970","205,855","38,110",335,105,230,,
70010 Construction managers,"100,495","86,955","13,540",85,20,65,,
70011 Home building and renovation managers,"62,540","58,425","4,110",70,45,25,,
70012 Facility operation and maintenance managers,"80,935","60,475","20,460",180,40,135,,
7002 Managers in transportation and postal and courier services,"46,525","34,425","12,100",80,30,50,,
70020 Managers in transportation,"42,175","31,775","10,395",60,30,30,,
70021 Postal and courier services managers,"4,350","2,650","1,700",15,0,15,,
72 Technical trades and transportation officers and controllers,"1,358,050","1,300,890","57,165",540,380,160,,
720 Technical trades contractors and supervisors,"211,365","190,980","20,385",135,60,70,,
"7201 Contractors and supervisors, technical industrial, electrical and construction trades and related workers","114,670","107,670","7,000",40,20,15,,
"72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","14,405","13,575",835,0,0,0,,
"72011 Contractors and supervisors, electrical trades and telecommunications occupations","24,600","22,945","1,655",10,0,0,,
"72012 Contractors and supervisors, pipefitting trades","8,485","8,115",370,0,0,0,,
"72013 Contractors and supervisors, carpentry trades","16,465","15,990",475,0,0,0,,
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers","50,715","47,045","3,670",20,0,10,,
"7202 Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators","96,695","83,310","13,390",100,40,55,,
"72020 Contractors and supervisors, mechanic trades","27,340","25,470","1,870",10,0,0,,
"72021 Contractors and supervisors, heavy equipment operator crews","45,785","44,015","1,770",15,15,0,,
"72022 Supervisors, printing and related occupations","2,185","1,375",805,0,0,0,,
"72023 Supervisors, railway transport operations","1,305","1,135",170,0,0,0,,
"72024 Supervisors, motor transport and other ground transit operators","11,370","7,875","3,500",40,15,25,,
"72025 Supervisors, mail and message distribution occupations","8,715","3,440","5,275",25,10,15,,
721 Technical industrial trades,"192,025","184,035","7,990",70,60,10,,
"7210 Machining, metal forming, shaping and erecting trades","192,025","184,035","7,990",70,60,10,,
72100 Machinists and machining and tooling inspectors,"39,290","37,495","1,795",10,10,0,,
72101 Tool and die makers,"10,590","10,110",485,0,0,0,,
72102 Sheet metal workers,"20,320","19,810",505,15,10,0,,
72103 Boilermakers,"4,250","4,140",115,0,0,0,,
72104 Structural metal and platework fabricators and fitters,"7,030","6,825",210,0,0,0,,
72105 Ironworkers,"14,285","13,970",315,15,15,0,,
72106 Welders and related machine operators,"96,255","91,690","4,565",30,20,0,,
722 Technical electrical trades,"180,405","174,540","5,865",75,50,20,,
7220 Technical electrical trades and electrical power line and telecommunications workers,"180,405","174,540","5,865",75,50,20,,
72200 Electricians (except industrial and power system),"106,205","103,470","2,735",35,30,0,,
72201 Industrial electricians,"22,910","22,470",440,10,10,0,,
72202 Power system electricians,"5,210","5,025",185,0,0,0,,
72203 Electrical power line and cable workers,"13,785","13,535",245,0,0,0,,
72204 Telecommunications line and cable installers and repairers,"10,465","10,050",415,20,0,10,,
72205 Telecommunications equipment installation and cable television service technicians,"21,835","19,995","1,845",10,10,0,,
723 Technical construction trades,"312,860","304,235","8,625",130,115,15,,
"7230 Plumbers, pipefitters and gas fitters","86,315","84,630","1,680",30,25,0,,
72300 Plumbers,"56,385","55,420",970,20,20,0,,
"72301 Steamfitters, pipefitters and sprinkler system installers","22,585","22,130",460,10,0,0,,
72302 Gas fitters,"7,340","7,090",255,0,0,0,,
7231 Carpenters and cabinetmakers,"197,690","191,735","5,955",75,70,10,,
72310 Carpenters,"179,755","175,400","4,350",70,70,0,,
72311 Cabinetmakers,"17,940","16,335","1,605",0,0,0,,
7232 Bricklayers and insulators,"28,850","27,860",990,25,20,0,,
72320 Bricklayers,"18,830","18,610",220,10,10,0,,
72321 Insulators,"10,025","9,250",775,20,15,0,,
724 Technical maintenance trades,"403,465","394,190","9,280",100,80,20,,
7240 Machinery and transportation equipment mechanics (except motor vehicles),"179,180","175,390","3,795",60,45,15,,
72400 Construction millwrights and industrial mechanics,"69,280","68,080","1,205",25,25,0,,
72401 Heavy-duty equipment mechanics,"47,265","46,740",530,10,10,10,,
"72402 Heating, refrigeration and air conditioning mechanics","32,260","31,690",575,0,0,0,,
72403 Railway carmen/women,"2,560","2,485",75,0,0,0,,
72404 Aircraft mechanics and aircraft inspectors,"19,510","18,295","1,215",10,10,0,,
72405 Machine fitters,"2,195","2,060",140,0,0,0,,
72406 Elevator constructors and mechanics,"6,115","6,050",65,0,0,0,,
7241 Automotive service technicians,"195,085","190,475","4,605",40,35,0,,
"72410 Automotive service technicians, truck and bus mechanics and mechanical repairers","162,840","159,790","3,055",35,25,0,,
"72411 Auto body collision, refinishing and glass technicians and damage repair estimators","32,245","30,685","1,555",10,10,0,,
7242 Small engine and equipment mechanics and related repairers (including electrical components),"29,200","28,325",875,0,0,0,,
72420 Oil and solid fuel heating mechanics,"1,760","1,730",30,0,0,0,,
72421 Appliance servicers and repairers,"6,355","6,160",195,0,0,0,,
72422 Electrical mechanics,"10,920","10,505",420,0,0,0,,
"72423 Motorcycle, all-terrain vehicle and other related mechanics","7,210","7,030",180,0,0,0,,
72429 Other small engine and small equipment repairers,"2,950","2,905",45,0,0,0,,
725 Technical equipment operation trades,"15,190","14,820",375,0,0,0,,
7250 Crane operators and water well drillers,"15,190","14,820",375,0,0,0,,
72500 Crane operators,"14,520","14,170",350,0,0,0,,
72501 Water well drillers,670,650,25,0,0,0,,
726 Transportation officers and controllers,"32,655","29,040","3,615",20,10,10,,
7260 Transportation officers and controllers,"32,655","29,040","3,615",20,10,10,,
"72600 Air pilots, flight engineers and flying instructors","18,605","17,215","1,390",10,0,0,,
72601 Air traffic controllers and related occupations,"4,790","3,640","1,150",10,0,0,,
"72602 Deck officers, water transport","6,275","5,615",660,0,0,0,,
"72603 Engineer officers, water transport","1,535","1,455",80,0,0,0,,
72604 Railway traffic controllers and marine traffic regulators,"1,455","1,110",340,0,0,0,,
729 Other technical trades,"10,080","9,050","1,025",0,0,0,,
7299 Other technical trades,"10,080","9,050","1,025",0,0,0,,
72999 Other technical trades and related occupations,"10,080","9,050","1,025",0,0,0,,
73 General trades,"979,385","894,515","84,870",970,655,315,,
731 General construction trades,"150,485","138,180","12,310",95,60,40,,
"7310 Concrete finishers, tilesetters and plasterers","52,130","50,015","2,120",25,15,10,,
73100 Concrete finishers,"10,055","9,830",225,0,0,0,,
73101 Tilesetters,"9,940","9,495",445,0,0,0,,
"73102 Plasterers, drywall installers and finishers and lathers","32,140","30,690","1,450",20,0,10,,
"7311 Roofers, glaziers, painters, decorators and floor covering installers","98,360","88,165","10,190",70,45,20,,
73110 Roofers and shinglers,"25,975","25,440",535,15,15,0,,
73111 Glaziers,"8,855","8,635",225,0,0,0,,
73112 Painters and decorators (except interior decorators),"50,135","41,205","8,930",45,20,20,,
73113 Floor covering installers,"13,390","12,885",505,0,0,0,,
"732 Building maintenance installers, servicers and repairers","187,995","173,880","14,115",185,110,75,,
"7320 Building maintenance installers, servicers and repairers","187,995","173,880","14,115",185,110,75,,
73200 Residential and commercial installers and servicers,"57,405","54,665","2,740",35,35,0,,
73201 General building maintenance workers and building superintendents,"114,085","103,945","10,140",145,80,65,,
73202 Pest controllers and fumigators,"4,555","4,075",480,0,0,0,,
73209 Other repairers and servicers,"11,955","11,195",760,0,0,0,,
733 Transportation occupations,"519,310","467,735","51,575",620,415,200,,
7330 Transport truck and transit drivers,"507,265","456,380","50,880",620,415,200,,
73300 Transport truck drivers,"403,855","385,670","18,185",385,320,70,,
"73301 Bus drivers, subway operators and other transit operators","103,410","70,710","32,700",235,105,130,,
7331 Train crew operating occupations,"12,045","11,350",695,0,0,0,,
73310 Railway and yard locomotive engineers,"6,115","5,745",375,0,0,0,,
73311 Railway conductors and brakemen/women,"5,930","5,610",325,0,0,0,,
"734 Operators, drillers and blasters","121,590","114,730","6,865",75,70,10,,
"7340 Operators, drillers and blasters","121,590","114,730","6,865",75,70,10,,
73400 Heavy equipment operators,"101,535","96,980","4,550",65,60,0,,
73401 Printing press operators,"15,375","13,095","2,280",10,0,0,,
"73402 Drillers and blasters - surface mining, quarrying and construction","4,685","4,650",30,0,0,0,,
"74 Mail and message distribution, other transport equipment operators and related maintenance workers","159,250","122,570","36,680",255,85,165,,
741 Mail and message distribution occupations,"98,470","66,015","32,460",220,75,140,,
7410 Mail and message distribution occupations,"98,470","66,015","32,460",220,75,140,,
74100 Mail and parcel sorters and related occupations,"25,410","13,685","11,725",45,15,30,,
74101 Letter carriers,"34,870","20,170","14,700",125,35,90,,
74102 Couriers and messengers,"38,195","32,165","6,035",50,25,20,,
"742 Transport equipment operators, utility maintenance and related workers","60,775","56,555","4,220",40,15,25,,
"7420 Transport equipment operators, utility maintenance and related maintenance workers","60,775","56,555","4,220",40,15,25,,
74200 Railway yard and track maintenance workers,"5,985","5,760",225,0,0,0,,
74201 Water transport deck and engine room crew,"4,935","4,395",540,0,0,0,,
74202 Air transport ramp attendants,"10,280","9,080","1,205",0,0,0,,
74203 Automotive and heavy truck and equipment parts installers and servicers,"16,130","15,330",800,10,0,10,,
74204 Utility maintenance workers,"6,345","5,775",580,10,0,0,,
74205 Public works maintenance equipment operators and related workers,"17,100","16,225",875,10,0,10,,
"75 Helpers and labourers and other transport drivers, operators and labourers","739,620","646,685","92,930",820,480,345,,
751 Helpers and labourers,"510,800","445,280","65,515",490,280,210,,
7510 Longshore workers and material handlers,"252,320","207,160","45,160",310,160,145,,
75100 Longshore workers,"6,290","5,535",750,0,0,0,,
75101 Material handlers,"246,030","201,620","44,410",300,155,145,,
7511 Trades helpers and labourers,"258,475","238,120","20,355",180,125,65,,
75110 Construction trades helpers and labourers,"244,110","224,950","19,160",175,125,55,,
75119 Other trades helpers and labourers,"14,365","13,175","1,190",10,0,10,,
"752 Transport drivers, operators and labourers","228,820","201,405","27,415",335,195,140,,
"7520 Taxi, personal service and delivery service drivers","184,175","162,435","21,740",285,165,120,,
75200 Taxi and limousine drivers and chauffeurs,"68,390","63,675","4,720",100,70,25,,
75201 Delivery service drivers and door-to-door distributors,"115,785","98,765","17,020",190,95,95,,
7521 Water and rail transport operators and labourers and related occupations,"44,645","38,965","5,680",50,35,15,,
75210 Boat and cable ferry operators and related occupations,"3,160","2,575",590,0,0,0,,
75211 Railway and motor transport labourers,"5,685","4,765",925,0,0,0,,
75212 Public works and maintenance labourers,"35,795","31,630","4,165",45,25,15,,
"8 Natural resources, agriculture and related production occupations","617,425","472,910","144,515",700,270,425,,
80 Middle management occupations in production and agriculture,"193,100","140,735","52,365",260,85,175,,
800 Middle management occupations in production and agriculture,"193,100","140,735","52,365",260,85,175,,
8001 Managers in natural resources production and fishing,"10,665","9,520","1,155",10,0,0,,
80010 Managers in natural resources production and fishing,"10,665","9,520","1,155",10,0,0,,
"8002 Managers in agriculture, horticulture and aquaculture","182,430","131,215","51,215",255,80,180,,
80020 Managers in agriculture,"177,345","128,015","49,330",235,70,160,,
80021 Managers in horticulture,"4,120","2,395","1,720",25,10,10,,
80022 Managers in aquaculture,965,800,165,0,0,0,,
"82 Supervisors in natural resources, agriculture and related production","52,755","47,210","5,545",75,45,35,,
