"Occupation by major field of study (detailed, 4-digit): Canada, provinces and territories",,,,,,,,
Frequency: Occasional,,,,,,,,
Table: 98-10-0404-01,,,,,,,,
Release date: 2023-10-04,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data",,,,,,,,
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A), Age (2), Highest certificate, diploma or degree (16), Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Gender (3)",,,,,,,,
,,,,,,,,
Geography,Canada i1,,,,,,,
Age (2) 1,Total - Age 7,,,,,,,
"Highest certificate, diploma or degree (16) 2","Total - Highest certificate, diploma or degree 8",,,,,,,
Major field of study - Classification of Instructional Programs (CIP) 2021 (500) 3,Total - Major field of study - Classification of Instructional Programs (CIP) 2021 9,,,45.10 Political science and government,,,,
Gender (3) 5 6,Total - Gender,Men+ 10,Women+ 11,Total - Gender,Men+ 10,Women+ 11,,
32200 Traditional Chinese medicine practitioners and acupuncturists,"5,175","1,740","3,435",15,0,15,,
32201 Massage therapists,"43,665","8,150","35,515",80,35,45,,
32209 Other practitioners of natural healing,"6,130","1,035","5,095",25,10,20,,
33 Assisting occupations in support of health services,"515,420","72,540","442,885",905,205,705,,
331 Assisting occupations in support of health services,"515,420","72,540","442,885",905,205,705,,
3310 Assisting occupations in support of health services,"515,420","72,540","442,885",905,205,705,,
33100 Dental assistants and dental laboratory assistants,"39,965","1,605","38,360",55,10,45,,
33101 Medical laboratory assistants and related technical occupations,"21,600","3,560","18,040",20,0,15,,
"33102 Nurse aides, orderlies and patient service associates","380,320","53,690","326,630",655,155,500,,
33103 Pharmacy technical assistants and pharmacy assistants,"33,655","4,965","28,695",75,20,55,,
33109 Other assisting occupations in support of health services,"39,885","8,720","31,165",105,20,85,,
"4 Occupations in education, law and social, community and government services","2,532,170","816,725","1,715,450","25,955","13,470","12,485",,
"40 Managers in public administration, in education and social and community services and in public protection services","139,490","59,820","79,670","2,730","1,505","1,225",,
"400 Managers in public administration, in education and social and community services and in public protection services","139,490","59,820","79,670","2,730","1,505","1,225",,
4001 Managers in public administration,"27,585","13,195","14,390","1,075",525,555,,
40010 Government managers - health and social policy development and program administration,"8,155","2,825","5,330",350,145,205,,
"40011 Government managers - economic analysis, policy development and program administration","12,255","6,445","5,810",485,265,220,,
40012 Government managers - education policy development and program administration,"2,035",720,"1,310",30,15,15,,
40019 Other managers in public administration,"5,140","3,200","1,940",210,105,110,,
4002 Managers in education,"51,495","18,870","32,630",485,220,260,,
40020 Administrators - post-secondary education and vocational training,"18,420","6,295","12,125",290,130,165,,
